FIFA,OPTA,Fifa Ovr,Crossing,Finishing,ShortPassing,Dribbling,LongPassing,StandingTackle,SlidingTackle
C. Ganea,"Cristian Ganea Athletic Bilbao, 27, Defender ",70,65,52,62,62,62,61,76
Iván Alejo,"Iván Alejo Getafe, 24, AM(R) ",76,76,73,76,79,71,39,42
F. Di Santo,"Franco Di Santo Schalke 04, 30, AM(CLR),FW ",75,62,70,76,75,63,38,32
Neymar Jr,"Neymar Paris Saint-Germain, 27, AM(CLR),FW ",92,79,87,84,96,78,24,33
K. Mbappé,"Kylian Mbappé Paris Saint-Germain, 20, AM(LR),FW ",88,77,88,82,90,73,34,32
T. Savanier,"Téji Savanier Nimes, 27, DMC ",72,69,62,75,71,71,51,47
N. Pépé,"Nicolas Pépé Lille, 24, AM(R),FW ",76,68,72,66,81,49,20,19
A. Di María,"Ángel Di María Paris Saint-Germain, 31, M(CLR),FW ",84,83,72,82,86,79,59,56
Y. Atal,"Youcef Atal Nice, 23, D(R),M(R) ",73,73,54,74,80,73,71,70
E. Cavani,"Edinson Cavani Paris Saint-Germain, 32, AM(LR),FW ",89,70,89,78,80,52,45,39
H. Ben Arfa,"Hatem Ben Arfa Rennes, 32, M(CR),FW ",79,70,70,78,88,74,27,21
M. Depay,"Memphis Depay Lyon, 25, AM(CL),FW ",84,79,79,80,85,74,31,20
N. Fekir,"Nabil Fekir Lyon, 26, AM(CR),FW ",85,83,82,83,90,75,37,25
A. Rabiot,"Adrien Rabiot Paris Saint-Germain, 24, DMC ",83,70,69,85,79,83,81,75
F. Tait,"Flavien Tait Angers, 26, AM(CLR) ",75,75,68,77,79,72,36,33
A. Delort,"Andy Delort Montpellier, 27, AM(R),FW ",76,67,75,70,74,57,20,24
Thiago Mendes,"Thiago Mendes Lille, 27, D(R),M(CR) ",76,67,63,78,76,74,75,74
Marcelo,"Marcelo Real Madrid, 31, D(L) ",80,36,48,70,51,72,82,73
A. Bernede,"Antoine Bernede Paris Saint-Germain, 20, Midfielder ",64,51,49,73,66,64,58,46
Marquinhos,"Marquinhos Paris Saint-Germain, 25, D(CR),DMC ",84,72,33,81,59,78,87,87
A. Saint-Maximin,"Allan Saint-Maximin Nice, 22, AM(CLR),FW ",79,66,70,72,87,68,16,22
F. Thauvin,"Florian Thauvin Marseille, 26, AM(CLR),FW ",84,83,81,83,85,76,29,31
R. Pierre-Gabriel,"Ronaël Pierre-Gabriel Monaco, 21, D(LR) ",72,70,43,66,71,53,69,72
B. André,"Benjamin André Rennes, 29, D(R),M(CLR) ",77,72,61,80,75,79,78,71
Gabriel,"Gabriel Lille, 21, D(C) ",66,38,30,49,39,45,69,65
M. Gradel,"Max-Alain Gradel Toulouse, 31, M(LR),FW ",78,71,78,74,82,66,40,35
L. Ocampos,"Lucas Ocampos Marseille, 25, M(CLR),FW ",77,75,75,75,74,70,52,48
R. Aguilar,"Ruben Aguilar Montpellier, 26, D(R),M(R) ",77,75,35,71,76,68,77,75
R. Cabella,"Rémy Cabella Saint-Etienne, 29, M(CLR),FW ",78,73,70,79,82,74,34,32
Y. Koné,"Youssouf Kone Lille, 24, D(L) ",64,59,30,60,65,48,64,65
M. Debuchy,"Mathieu Debuchy Saint-Etienne, 34, D(CR) ",78,77,62,75,74,73,78,78
K. Lala,"Kenny Lala Strasbourg, 27, D(LR),M(R) ",77,76,46,73,79,72,73,73
A. Touré,"Almamy Touré Eintracht Frankfurt, 23, D(CR) ",76,48,38,72,60,73,79,74
Marçal,"Marçal Lyon, 30, D(CL) ",77,76,57,74,74,69,76,77
V. Rongier,"Valentin Rongier Nantes, 24, M(C) ",78,62,70,81,78,79,84,70
F. Mendy,"Ferland Mendy Lyon, 24, D(L),M(L) ",78,74,62,76,81,75,75,76
H. Sakai,"Hiroki Sakai Marseille, 29, D(LR),M(R) ",78,74,33,71,64,64,77,80
V. Jovanović,"Vukasin Jovanovic Bordeaux, 23, D(C) ",72,57,47,69,62,60,75,70
C. Hérelle,"Christophe Herelle Nice, 27, D(C) ",76,60,40,77,58,68,78,76
M. Verratti,"Marco Verratti Paris Saint-Germain, 26, DMC ",86,72,60,90,90,89,83,80
T. Meunier,"Thomas Meunier Paris Saint-Germain, 27, D(R),M(R) ",82,83,76,82,75,74,82,80
Thiago Silva,"Loïc Mbe Soh Paris Saint-Germain, 18, Forward ",88,60,38,80,62,80,89,85
Thiago Silva,"Thiago Silva Paris Saint-Germain, 34, D(C) ",88,60,38,80,62,80,89,85
I. Sangaré,"Ibrahim Sangaré Toulouse, 21, DMC ",74,74,61,73,71,73,71,73
H. Aouar,"Houssem Aouar Lyon, 21, M(CL) ",80,68,72,84,84,78,64,63
F. Mollet,"Florent Mollet Montpellier, 27, AM(CL) ",76,68,67,77,74,75,49,44
N. Pallois,"Nicolas Pallois Nantes, 31, D(C) ",77,61,41,68,57,68,79,75
G. Laborde,"Gaetan Laborde Montpellier, 25, AM(C),FW ",76,62,76,73,71,54,29,16
R. Ripart,"Renaud Ripart Nimes, 26, D(R),M(L),FW ",70,68,71,65,70,61,36,31
Dani Alves,"Dani Alves Paris Saint-Germain, 36, D(R),M(CR) ",82,85,61,81,84,79,79,82
J. Draxler,"Julian Draxler Paris Saint-Germain, 25, AM(CLR) ",83,83,78,84,88,79,64,44
J. Bamba,"Jonathan Bamba Lille, 23, AM(LR),FW ",73,64,71,68,80,63,37,38
G. Konan,"Ghislain Konan Reims, 23, D(L) ",75,71,43,71,78,64,75,69
N. Sliti,"Naïm Sliti Dijon, 27, AM(CL) ",76,70,67,78,81,65,34,27
L. Dubois,"Léo Dubois Lyon, 24, D(LR) ",77,81,51,79,76,77,80,82
E. Sala,"Emiliano Sala Nantes, 28, FW ",78,59,80,71,75,63,59,51
M. Thuram,"Marcus Thuram Guingamp, 22, AM(L),FW ",72,65,72,74,71,58,46,37
E. Skhiri,"Ellyes Skhiri Montpellier, 24, DMC ",77,71,62,75,74,74,79,72
T. Ndombele,"Tanguy Ndombele Lyon, 22, DMC ",80,67,59,82,86,79,73,69
I. Sarr,"Ismaila Sarr Rennes, 21, AM(LR),FW ",76,68,69,69,79,59,16,21
T. Kehrer,"Thilo Kehrer Paris Saint-Germain, 22, D(CR),M(R) ",77,56,37,63,63,58,81,85
P. Martinez,"Pablo Martinez Strasbourg, 30, D(CL) ",73,67,37,66,71,70,74,75
Y. Abdelhamid,"Yunis Abdelhamid Reims, 31, D(C) ",72,28,24,58,17,55,75,67
S. Kalu,"Samuel Kalu Bordeaux, 22, AM(R) ",74,75,66,68,76,58,31,24
Rui Fonte,"José Fonte Lille, 35, D(C) ",72,61,72,73,66,68,37,28
F. Guilbert,"Frederic Guilbert Caen, 24, D(CLR),M(R) ",75,73,40,72,66,64,78,77
O. Selnæs,"Ole Selnaes Saint-Etienne, 25, DMC ",76,62,56,80,72,76,73,68
S. Prcić,"Sanjin Prcic Levante, 25, M(C) ",74,71,62,78,73,77,74,68
B. Sarr,"Bouna Sarr Marseille, 27, D(R),M(CLR) ",77,75,64,74,79,69,72,76
L. Perrin,"Loic Perrin Saint-Etienne, 34, D(C) ",80,65,55,74,62,77,84,82
C. N'Doye,"Cheikh N'Doye Angers, 33, M(C) ",69,68,61,62,64,66,68,62
J. Martin,"Jonas Martin Strasbourg, 29, M(CL) ",76,74,65,80,76,77,75,68
M. Dembélé,"Moussa Dembele Lyon, 23, FW ",76,50,76,68,75,41,14,16
F. Ballo-Touré,"Fode Ballo-Toure Monaco, 22, D(L) ",69,66,42,69,68,63,65,66
A. Djiku,"Alexander Djiku Caen, 25, D(CR) ",76,71,34,64,67,59,76,77
C. Traoré,"Charles Traoré Nantes, 27, D(L) ",67,62,30,49,68,56,67,66
Gelson Martins,"Gelson Martins Atletico Madrid, 24, AM(R) ",82,81,66,78,85,55,46,36
Y. Tielemans,"Youri Tielemans Monaco, 22, M(C) ",78,76,73,78,76,78,72,69
K. Tete,"Kenny Tete Lyon, 23, D(R),M(R) ",78,74,42,73,68,63,81,86
X. Chavalerin,"Xavier Chavalerin Reims, 28, DMC ",71,67,59,72,63,73,70,63
B. Traoré,"Bertrand Traoré Lyon, 23, AM(R),FW ",78,65,75,77,85,69,40,37
Pedro Mendes,"Pedro Mendes Montpellier, 28, D(CR) ",78,25,25,66,62,64,82,78
L. Ajorque,"Ludovic Ajorque Strasbourg, 25, FW ",70,31,74,45,67,34,20,17
A. Romao,"Jacques-Alaixys Romao Reims, 35, D(C),M(C) ",74,60,42,71,64,66,78,75
W. Saliba,"William Saliba Saint-Etienne, 18, D(C) ",63,30,22,55,47,33,69,67
Rony Lopes,"Rony Lopes Monaco, 23, AM(CLR) ",80,78,79,79,82,72,28,27
W. Cyprien,"Wylan Cyprien Nice, 24, AM(C) ",77,74,77,78,78,74,77,68
D. Koita,"Djegui Koita Guingamp, 20, Defender ",68,50,38,65,54,59,71,69
D. Le Tallec,"Damien Le Tallec Montpellier, 29, D(C),DMC ",72,52,60,73,69,65,73,73
Y. M'Vila,"Yann M'Vila Saint-Etienne, 29, M(C) ",79,62,56,83,73,79,75,72
J. Amavi,"Jordan Amavi Marseille, 25, D(L),M(L) ",77,79,60,74,73,66,75,77
F. Ballo-Touré,"Fode Ballo-Toure Monaco, 22, D(L) ",69,66,42,69,68,63,65,66
F. Tabanou,"Franck Tabanou Guingamp, 30, D(L),M(L) ",71,75,59,73,70,70,71,72
Diego Carlos,"Diego Carlos Nantes, 26, D(C) ",78,35,26,71,64,59,79,73
A. Baba,"Abdul Rahman Baba Schalke 04, 25, D(L),M(L) ",74,76,48,72,75,67,74,74
K. Mbodji,"Serigne Modou Kara Mbodji Nantes, 29, D(C) ",77,39,45,61,61,66,78,76
M. Çelik,"Mehmet Zeki Çelik Lille, 22, D(R) ",71,70,37,68,65,59,69,68
F. Fajr,"Faycal Fajr Caen, 31, M(CLR) ",78,77,72,80,76,81,77,78
V. Manceau,"Vincent Manceau Angers, 30, D(LR) ",74,75,40,75,72,74,75,75
M. Niang,"M'Baye Niang Rennes, 24, AM(LR),FW ",76,65,68,70,81,57,24,20
A. Briançon,"Anthony Briancon Nimes, 24, D(C) ",72,36,34,67,45,61,72,69
I. Sylla,"Issiaga Sylla Toulouse, 25, D(LR),M(L) ",71,72,64,75,70,67,68,68
C. Nkunku,"Christopher Nkunku Paris Saint-Germain, 21, M(CLR) ",76,69,76,79,82,72,72,70
D. Da Silva,"Damien Da Silva Rennes, 31, D(C) ",77,49,25,69,42,62,79,77
Adrien Silva,"Adrien Silva Monaco, 30, M(C) ",79,77,67,81,78,80,78,73
Pedro Rebocho,"Pedro Rebocho Guingamp, 24, D(L) ",74,75,45,75,75,72,75,74
I. Aaneba,"Ismaël Aaneba Strasbourg, 20, Defender ",60,52,21,55,53,48,63,65
Dante,"Dante Nice, 35, D(C) ",80,58,47,74,57,76,82,80
P. Capelle,"Pierrick Capelle Angers, 32, D(L),M(CLR) ",75,76,68,75,76,73,68,67
J. Reine-Adélaïde,"Jeff Reine-Adélaïde Angers, 21, AM(CR),FW ",70,61,57,71,76,66,46,47
M. Balotelli,"Mario Balotelli Marseille, 29, FW ",83,68,85,78,81,66,22,20
R. Bensebaini,"Ramy Bensebaini Rennes, 24, D(CL),DMC ",75,73,49,72,68,64,75,74
C. Jullien,"Christopher Jullien Toulouse, 26, D(C) ",72,37,51,59,45,61,65,71
M. Sanson,"Morgan Sanson Marseille, 25, M(CLR) ",80,78,74,80,77,84,73,76
P. Lees-Melou,"Pierre Lees-Melou Nice, 26, AM(CLR) ",78,78,70,79,79,79,68,63
A. Touré,"Abdoulaye Touré Nantes, 25, DMC ",76,48,38,72,60,73,79,74
Falcao,"Radamel Falcao Monaco, 33, FW ",84,55,86,79,75,58,42,19
S. Alakouch,"Sofiane Alakouch Nimes, 21, D(R) ",68,68,23,67,62,62,69,72
M. Sarr,"Malang Sarr Nice, 20, D(CL) ",75,68,49,74,62,69,77,75
F. Eboa Eboa,"Félix Eboa Eboa Guingamp, 22, D(CR) ",72,45,39,68,49,58,75,72
Otávio,"Otávio Bordeaux, 25, DMC ",77,59,44,76,69,69,80,76
Bernat,"Juan Bernat Paris Saint-Germain, 26, D(L),M(CL) ",76,79,57,79,84,64,75,74
Pablo,"Pablo Bordeaux, 28, D(C) ",76,30,49,57,56,51,78,72
T. Monconduit,"Thomas Monconduit Amiens, 28, DMC ",76,58,49,76,70,74,76,75
B. Engels,"Björn Engels Reims, 24, D(C) ",75,48,54,70,53,73,76,74
E. Kwateng,"Enock Kwateng Nantes, 22, D(R),M(R) ",68,69,30,64,68,66,72,69
C. Grenier,"Clément Grenier Rennes, 28, M(CL) ",77,79,72,79,75,80,59,49
Andrei Girotto,"Andrei Girotto Nantes, 27, DMC ",71,65,57,75,67,66,75,70
I. Sissoko,"Ibrahima Sissoko Strasbourg, 21, DMC ",69,45,37,70,63,65,70,68
Hilton,"Hilton Montpellier, 41, D(C) ",78,60,45,73,63,72,77,76
J. Ikoné,"Jonathan Ikoné Lille, 21, AM(CLR) ",73,65,62,69,76,61,36,36
Júlio Tavares,"Júlio Tavares Dijon, 30, AM(LR),FW ",75,30,75,69,66,42,24,21
Y. Aït Bennasser,"Youssef Aït Bennasser Monaco, 23, DMC ",75,64,56,78,78,79,68,67
D. Payet,"Dimitri Payet Marseille, 32, M(CLR) ",84,87,78,84,86,80,36,39
R. Thomas,"Romain Thomas Angers, 31, D(C) ",76,42,22,69,31,68,76,74
L. Mothiba,"Lebo Mothiba Lille, 23, FW ",72,60,75,68,68,53,15,12
K. Glik,"Kamil Glik Monaco, 31, D(C) ",83,29,27,63,51,59,85,82
J. Gradit,"Jonathan Gradit Caen, 26, D(CR) ",67,63,19,65,57,57,70,66
D. Congré,"Daniel Congré Montpellier, 34, D(CLR) ",75,65,25,69,65,68,77,76
Nuno da Costa,"Nuno da Costa Strasbourg, 28, AM(R),FW ",72,29,70,72,74,50,17,20
V. Germain,"Valère Germain Marseille, 29, AM(L),FW ",77,74,78,73,73,64,21,18
B. Kamara,"Boubacar Kamara Marseille, 19, D(CL),DMC ",72,58,30,74,62,75,74,72
A. Tameze,"Adrien Tameze Nice, 25, M(C) ",74,50,58,75,70,71,78,75
Santamaría,"Baptiste Santamaría Angers, 24, DMC ",67,15,20,17,12,11,15,11
M. Cafaro,"Mathieu Cafaro Reims, 22, AM(CL) ",68,57,65,72,68,70,40,45
D. Bouanga,"Denis Bouanga Nimes, 24, AM(LR) ",72,71,74,73,75,65,24,19
J. Todibo,"Jean-Clair Todibo Barcelona, 19, D(C) ",64,46,40,69,59,64,64,68
Mexer,"Mexer Rennes, 30, D(C) ",75,40,44,72,59,55,75,74
H. Traoré,"Hamari Traoré Rennes, 27, D(R),M(R) ",74,73,48,71,74,70,72,71
A. Oyongo,"Ambroise Oyongo Montpellier, 28, D(LR),M(L) ",74,69,54,67,74,64,72,70
Y. Aït Bennasser,"Youssef Aït Bennasser Monaco, 23, DMC ",75,64,56,78,78,79,68,67
F. Chafik,"Fouad Chafik Dijon, 32, D(LR),M(R) ",73,67,45,60,72,56,77,78
J. Morel,"Jérémy Morel Lyon, 35, D(CL) ",76,58,36,73,56,70,74,78
J. Lefort,"Jordan Lefort Amiens, 26, D(CL) ",69,63,22,64,66,60,71,67
K. Strootman,"Kevin Strootman Marseille, 29, DMC ",83,74,68,87,75,84,84,75
B. Henrichs,"Benjamin Henrichs Bayer Leverkusen, 22, D(LR),M(R) ",76,79,50,77,78,66,74,70
A. Gonçalves,"Anthony Gonçalves Strasbourg, 33, M(CR) ",71,62,30,74,65,73,69,68
J. Denayer,"Jason Denayer Lyon, 24, D(CR),DMC ",76,58,42,72,67,66,77,75
T. Pellenard,"Théo Pellenard Angers, 25, D(L) ",68,69,32,67,65,59,69,66
J. Koundé,"Jules Koundé Bordeaux, 20, D(C) ",73,26,29,66,49,57,74,72
A. Rami,"Adil Rami Marseille, 33, D(C) ",82,36,45,66,56,68,83,79
J. Ferri,"Jordan Ferri Nimes, 27, M(C) ",74,71,60,77,71,73,70,64
Lucas Lima,"Lima Nantes, 27, D(L),M(L) ",75,77,43,73,74,70,77,76
N. Benezet,"Nicolas Benezet Guingamp, 28, AM(CLR) ",74,73,72,74,75,69,22,30
N. Aguerd,"Nayef Aguerd Dijon, 23, D(C) ",67,41,34,66,56,59,66,66
V. Rosier,"Valentin Rosier Dijon, 23, D(LR),M(L) ",74,69,41,69,74,63,75,74
R. Oudin,"Remi Oudin Reims, 22, AM(R) ",69,75,71,65,69,48,21,15
Robert,"Robert Beric Saint-Etienne, 28, FW ",61,68,60,71,70,59,28,28
A. Soumaoro,"Aurelien Tchouameni Bordeaux, 19, DMC ",74,57,31,61,47,49,74,72
A. Soumaoro,"Adama Soumaoro Lille, 27, D(CR) ",74,57,31,61,47,49,74,72
S. Thioub,"Sada Thioub Nimes, 24, AM(R) ",73,70,73,68,78,61,21,16
M. Abeid,"Mehdi Abeid Dijon, 27, DMC ",72,56,67,75,75,73,68,62
T. Foket,"Thomas Foket Reims, 24, D(R),M(R) ",73,73,50,70,73,69,70,71
Rafael Leão,"Rafael Leão Lille, 20, FW ",72,62,70,64,73,52,24,21
T. Kolodziejczak,"Timothée Kolodziejczak Saint-Etienne, 27, D(CL) ",75,74,26,71,55,67,77,75
L. Diarra,"Lass Diarra Paris Saint-Germain, 34, M(C) ",80,60,38,79,73,75,79,81
M. Poundjé,"Maxime Poundjé Bordeaux, 27, D(L) ",73,72,29,68,73,61,70,69
K. Coulibaly,"Kalifa Coulibaly Nantes, 28, FW ",70,63,70,66,63,49,24,23
H. Kamara,"Hassane Kamara Reims, 25, D(L) ",64,56,61,63,62,57,36,46
A. Mbengue,"Adama Mbengue Caen, 25, D(L) ",69,68,41,66,66,62,69,70
R. Hamouma,"Romain Hamouma Saint-Etienne, 32, M(CLR),FW ",76,76,73,77,78,71,41,41
Luiz Gustavo,"Luiz Gustavo Marseille, 32, D(C),M(C) ",83,63,48,79,68,77,84,86
W. Lautoa,"Wesley Lautoa Dijon, 32, D(C),DMC ",71,53,29,63,23,58,70,69
M. Cornet,"Maxwel Cornet Lyon, 22, AM(LR),FW ",75,67,75,73,74,53,31,29
M. Miazga,"Matt Miazga Nantes, 24, D(C) ",73,25,16,67,53,54,73,74
L. Carole,"Lionel Carole Strasbourg, 28, D(L),M(L) ",72,71,28,68,75,63,72,72
A. Bamba,"Abdoulaye Bamba Angers, 29, D(LR),M(R) ",72,64,28,69,61,65,72,73
M. Dossevi,"Mathieu Dossevi Toulouse, 31, M(CR),FW ",77,82,62,78,78,70,30,25
M. Lopez,"Maxime Lopez Marseille, 21, M(C) ",75,74,62,79,77,75,62,55
M. Pavlović,"Mateo Pavlovic Angers, 29, D(C) ",74,37,67,63,49,54,74,73
B. Bourigeaud,"Benjamin Bourigeaud Rennes, 25, M(CLR) ",77,78,70,79,75,75,68,63
Y. Sabaly,"Youssouf Sabaly Bordeaux, 26, D(LR),M(R) ",77,75,33,76,75,59,80,77
Sergi Palencia,"Sergi Palencia Bordeaux, 23, D(R) ",70,68,51,67,67,59,70,67
A. Thomasson,"Adrien Thomasson Strasbourg, 25, M(CLR) ",75,70,67,78,74,73,66,55
M. Terrier,"Martin Terrier Lyon, 22, AM(L),FW ",73,67,75,75,74,69,31,34
P. Burner,"Patrick Burner Nice, 23, D(R) ",69,70,57,71,74,66,70,70
A. Blin,"Alexis Blin Amiens, 22, DMC ",72,62,52,71,64,64,74,73
D. Liénard,"Dimitri Lienard Strasbourg, 31, M(CL) ",75,77,67,80,73,79,52,60
L. Landre,"Loïck Landre Nimes, 27, D(C) ",70,35,22,65,48,52,72,66
Jemerson,"Jemerson Monaco, 27, D(C),DMC ",78,30,28,68,54,60,80,77
L. Blas,"Ludovic Blas Guingamp, 21, M(CLR) ",75,77,67,77,79,74,62,60
L. Deaux,"Lucas Deaux Guingamp, 30, D(C),DMC ",75,59,51,76,65,74,76,73
P. Kimpembe,"Presnel Kimpembe Paris Saint-Germain, 24, D(C) ",83,62,31,79,58,75,83,83
P. Baysse,"Paul Baysse Caen, 31, D(CR) ",76,65,40,72,62,68,75,72
N. Cozza,"Nicolas Cozza Montpellier, 20, D(C) ",69,66,30,67,64,64,70,68
S. Ghoddos,"Saman Ghoddos Amiens, 25, AM(L),FW ",74,64,71,70,73,59,39,38
A. Caci,"Anthony Caci Strasbourg, 22, D(C),M(L) ",66,56,49,70,67,70,66,62
A. Fulgini,"Angelo Fulgini Angers, 23, AM(CR) ",74,73,61,77,78,75,73,69
A. Bobichon,"Antonin Bobichon Nimes, 23, M(CL) ",68,64,65,72,71,65,57,48
O. Boscagli,"Olivier Boscagli Nice, 21, D(CL) ",71,71,23,71,69,65,73,68
C. Jallet,"Christophe Jallet Nice, 35, D(LR) ",75,75,50,76,69,74,75,75
L. Lerager,"Lukas Lerager Bordeaux, 26, DMC ",75,62,67,76,68,71,71,66
L. Kurzawa,"Layvin Kurzawa Paris Saint-Germain, 27, D(L),M(L) ",79,79,73,80,76,72,77,79
S. Doumbia,"Souleyman Doumbia Rennes, 22, D(L) ",76,46,73,70,74,63,39,34
K. Amian,"Kelvin Amian Toulouse, 21, D(CLR) ",75,68,35,73,67,57,77,77
Rolando,"Rolando Marseille, 34, D(C) ",75,44,20,68,47,66,80,74
F. Moubandje,"François Moubandje Toulouse, 29, D(CL) ",72,65,42,71,70,67,76,75
D. Ćaleta-Car,"Duje Caleta-Car Marseille, 22, D(C) ",74,28,32,64,54,47,76,73
Y. Karamoh,"Yann Karamoh Bordeaux, 21, AM(R),FW ",75,67,68,70,80,63,31,26
Xeka,"Xeka Lille, 24, M(C) ",73,45,46,77,71,76,69,63
B. Jeannot,"Benjamin Jeannot Dijon, 27, AM(R),FW ",72,51,74,65,65,59,19,19
F. Maouassa,"Faitout Maouassa Nimes, 21, D(L),M(L) ",69,74,57,69,74,53,71,68
Lucas Evangelista,"Lucas Evangelista Nantes, 24, M(CLR) ",75,71,56,77,75,73,73,70
A. Barreca,"Antonio Barreca Monaco, 24, D(L) ",75,78,21,66,75,58,74,72
C. Yambéré,"Cédric Yambéré Dijon, 28, D(C),DMC ",70,30,28,65,55,51,72,65
O. Haddadi,"Oussama Haddadi Dijon, 27, D(CL) ",71,68,34,69,64,57,76,75
K. Monnet-Paquet,"Kévin Monnet-Paquet Saint-Etienne, 31, M(CLR),FW ",73,73,67,73,70,63,47,58
F. Kamano,"François Kamano Bordeaux, 23, AM(CLR),FW ",77,72,76,70,79,55,33,29
M. Doumbia,"Moussa Doumbia Reims, 25, AM(CL),FW ",71,65,67,69,73,64,37,44
P. Polomat,"Pierre-Yves Polomat Saint-Etienne, 25, D(L),M(L) ",68,69,40,65,62,59,62,68
A. Golovin,"Aleksandr Golovin Monaco, 23, M(CL) ",79,69,72,80,86,73,75,66
S. Mendoza,"John Stiven Mendoza Amiens, 27, AM(CLR) ",71,67,66,59,73,52,31,24
F. Miguel,"Florian Miguel Nimes, 23, D(CL) ",67,64,52,65,61,58,66,68
T. Hubočan,"Tomas Hubocan Marseille, 33, D(CLR) ",71,59,45,63,50,57,75,74
M. Diaby,"Moussa Diaby Paris Saint-Germain, 20, M(L) ",70,66,64,70,74,67,39,38
A. Hunou,"Adrien Hunou Rennes, 25, AM(CLR),FW ",73,66,74,75,74,67,62,65
B. Dia,"Bafode Diakite Toulouse, 18, D(C) ",61,36,64,54,53,40,17,14
Danilo,"Danilo Nice, 23, DMC ",75,60,60,76,72,71,75,72
A. Nordin,"Arnaud Nordin Saint-Etienne, 21, AM(LR) ",70,63,70,66,74,59,32,26
R. Alioui,"Rachid Alioui Nimes, 27, FW ",70,57,70,60,69,43,19,11
B. Corgnet,"Benjamin Corgnet Strasbourg, 32, M(CLR),FW ",72,67,60,76,72,68,49,42
T. Fontaine,"Thomas Fontaine Reims, 28, D(C) ",69,61,18,66,18,49,66,67
R. Krhin,"Rene Krhin Nantes, 29, DMC ",73,59,49,74,59,68,78,65
Fábio,"Fabio Nantes, 29, D(LR),M(R) ",71,71,45,71,70,65,71,70
C. Depres,"Clement Depres Nimes, 24, Forward ",66,42,69,63,64,41,26,22
A. Cornelius,"Andreas Cornelius Bordeaux, 26, FW ",75,42,75,67,67,43,26,12
Y. Sankharé,"Younousse Sankharé Bordeaux, 29, M(C) ",76,68,70,78,75,73,75,71
Nicolas,"Nicolas de Preville Bordeaux, 28, AM(CLR),FW ",69,13,18,31,12,31,19,13
T. Bašić,"Toma Basic Bordeaux, 22, AM(C) ",68,54,48,73,64,70,71,69
Gabriel Silva,"Gabriel Silva Saint-Etienne, 28, D(LR),M(L) ",73,75,54,75,70,72,73,70
L. Tousart,"Lucas Tousart Lyon, 22, DMC ",79,60,42,76,69,73,82,76
D. Sidibé,"Djibril Sidibé Monaco, 27, D(LR),M(R) ",79,78,62,79,77,73,76,77
C. Ninga,"Casimir Ninga Caen, 26, AM(LR),FW ",73,66,70,62,70,55,25,23
S. Mitrović,"Stefan Mitrovic Strasbourg, 29, D(C) ",75,38,22,59,51,57,78,75
Edgar Ié,"Edgar Ié Nantes, 25, D(CR) ",74,68,32,66,63,60,75,74
J. Durmaz,"Jimmy Durmaz Toulouse, 30, AM(CLR) ",75,74,69,75,79,73,44,30
Gabriel Boschilia,"Gabriel Boschilia Nantes, 23, AM(CLR) ",76,69,73,75,80,69,48,56
M. Konaté,"Moussa Konaté Amiens, 26, AM(R),FW ",76,60,76,62,73,36,17,15
J. Otero,"Juan Ferney Otero Amiens, 24, AM(R),FW ",72,60,76,63,70,69,30,25
P. Oniangué,"Prince Oniangué Caen, 30, M(C) ",71,50,68,68,65,66,70,68
S. Bahoken,"Stéphane Bahoken Angers, 27, FW ",72,61,76,62,71,26,23,15
Y. Fofana,"Youssouf Fofana Strasbourg, 20, M(C) ",61,41,40,64,65,54,59,64
J. Marié,"Jordan Marié Dijon, 27, DMC ",73,62,48,74,73,69,73,69
A. Walongwa,"Anthony Walongwa Nantes, 25, D(C) ",65,24,21,51,27,48,65,62
B. Dia,"Boulaye Dia Reims, 22, FW ",61,36,64,54,53,40,17,14
L. Phiri,"Lebogang Phiri Guingamp, 24, DMC ",72,64,53,75,72,71,74,70
I. Lewczuk,"Igor Lewczuk Bordeaux, 34, D(C) ",72,67,42,68,60,53,73,67
B. Dibassy,"Bakaye Dibassy Amiens, 30, D(CL) ",73,68,48,68,71,64,75,73
L. Mothiba,"Lebo Mothiba Lille, 23, FW ",72,60,75,68,68,53,15,12
I. Traoré,"Ismael Traoré Angers, 33, D(CR) ",75,43,22,65,35,65,75,74
J. Briand,"Jimmy Briand Bordeaux, 34, M(LR),FW ",76,71,79,77,75,68,46,40
Y. Salibur,"Yannis Salibur Saint-Etienne, 28, AM(CLR),FW ",76,74,74,72,78,67,33,35
M. Maolida,"Myziane Maolida Nice, 20, AM(L),FW ",71,55,70,68,78,57,17,21
E. Imorou,"Emmanuel Imorou Caen, 30, D(L) ",70,69,50,64,60,66,69,69
L. Ciman,"Laurent Ciman Dijon, 34, D(C) ",75,62,46,73,63,80,72,78
C. Beauvue,"Claudio Beauvue Caen, 31, AM(CLR),FW ",75,72,74,75,75,61,45,21
M. Waris,"Majeed Waris Nantes, 27, AM(LR),FW ",74,63,73,68,75,59,33,34
A. Ndour,"Abdallah Ndour Strasbourg, 25, Defender ",69,71,27,69,62,68,68,73
Pablo,"Pablo Chavarria Reims, 31, AM(R),FW ",76,30,49,57,56,51,78,72
Y. Sanogo,"Yaya Sanogo Toulouse, 26, FW ",73,49,74,73,67,56,21,19
J. Aholou,"Jean Eudes Aholou Monaco, 25, DMC ",76,51,65,77,75,72,77,72
Rafael,"Rafael Lyon, 29, D(LR),M(R) ",79,77,53,77,80,70,77,77
Cesc Fàbregas,"Cesc Fàbregas Monaco, 32, M(CL),FW ",83,85,72,90,79,89,59,58
